t_us,ch1,ch2,ch3,ch4,label
0,3594,1864,1148,2043,center
4000,3612,1978,1114,1874,center
8000,3596,1986,1077,1817,center
12000,3608,1890,1121,1978,center
16000,3586,1912,1110,2028,center
20000,3606,1984,1128,1951,center
24000,3552,2012,1080,1825,center
28000,3626,1920,1036,1915,center
32000,3586,1914,1159,2048,center
36000,3600,1962,1144,2016,center
40000,3558,2017,1075,1824,center
44000,3626,1974,1058,1857,center
48000,3586,1919,1162,2048,center
52000,3362,1938,1154,2040,center
56000,3648,2002,1068,1840,center
60000,3632,2004,1040,1811,center
64000,3594,1920,1138,2030,center
68000,3478,1918,1152,2046,center
72000,3640,2011,1096,1854,center
76000,3630,2012,1094,1818,center
80000,3510,1913,1138,1994,center
84000,3642,1924,1094,2044,center
88000,3621,2003,1128,1912,center
92000,3610,2010,1083,1811,center
96000,3624,1921,1116,1941,center
100000,3618,1927,1115,2042,center
104000,3622,1984,1145,1976,center
108000,3648,2010,1084,1815,center
112000,3642,1947,1086,1872,center
116000,3610,1928,1103,2014,center
120000,3610,1952,1154,2010,center
124000,3688,2009,1088,1830,center
128000,3648,1998,1107,1824,center
132000,3597,1920,1146,1998,center
136000,3626,1926,1159,2052,center
140000,3654,1992,1086,1848,center
144000,3658,2031,1015,1802,center
148000,3586,1926,1136,2006,center
152000,3491,1930,1147,2046,center
156000,3664,1995,1038,1891,center
160000,3638,2031,1104,1799,center
164000,3602,1946,1120,1960,center
168000,3558,1919,1145,2042,center
172000,3656,1992,1154,1944,center
176000,3632,2020,1091,1796,center
180000,3522,1960,1122,1901,center
184000,3624,1896,1136,2042,center
188000,3627,1958,1152,1994,center
192000,3640,2014,1096,1790,center
196000,3546,1966,1090,1854,center
200000,3622,1851,1098,2038,center
204000,3603,1922,1155,2023,center
208000,3623,2004,1104,1854,center
212000,3598,1982,1098,1820,center
216000,3614,1913,936,2020,center
220000,3604,1915,1169,2039,center
224000,3592,1991,1111,1879,center
228000,3663,2012,1066,1810,center
232000,3624,1931,1090,1985,center
236000,3592,1912,1165,2060,center
240000,3678,1972,1117,1935,center
244000,3669,1984,1047,1812,center
248000,3616,1904,1135,1935,center
252000,3566,1901,1157,2068,center
256000,3672,1955,1134,1991,center
260000,3662,2014,1040,1811,center
264000,3634,1957,1110,1854,center
268000,3468,1904,1149,2036,center
272000,3642,1963,1120,2020,center
276000,3656,1972,1100,1811,center
280000,3624,1992,1088,1826,center
284000,3602,1896,1138,2024,center
288000,3616,1931,1163,2048,center
292000,3658,2018,1117,1860,center
296000,3630,2028,1094,1816,center
300000,3640,1926,1117,2001,center
304000,3611,1927,1173,2048,center
308000,3554,1999,1124,1919,center
312000,3686,2006,1088,1818,center
316000,3638,1947,1137,1940,center
320000,3600,1922,1173,2056,center
324000,3490,1985,1128,1968,center
