t_us,ch1,ch2,ch3,ch4,label
0,530,1894,903,1874,center
4000,514,1916,951,1902,center
8000,461,1905,935,1894,center
12000,534,1888,896,1880,center
16000,525,1906,951,1864,center
20000,516,1901,936,1900,center
24000,547,1886,932,1894,center
28000,523,1888,955,1867,center
32000,502,1877,956,1894,center
36000,258,1892,940,1894,center
40000,528,1908,966,1888,center
44000,520,1889,954,1876,center
48000,521,1879,946,1894,center
52000,528,1924,921,1895,center
56000,535,1913,888,1898,center
60000,493,1900,951,1906,center
64000,462,1882,946,1894,center
68000,524,1870,940,1896,center
72000,510,1913,950,1901,center
76000,509,1883,949,1900,center
80000,557,1893,935,1892,center
84000,532,1886,970,1896,center
88000,522,1898,950,1902,center
92000,448,1894,938,1891,center
96000,528,1854,930,1886,center
100000,524,1880,956,1872,center
104000,506,1904,944,1904,center
108000,532,1895,935,1896,center
112000,525,1900,880,1898,center
116000,520,1898,940,1884,center
120000,458,1898,947,1904,center
124000,546,1900,928,1901,center
128000,524,1913,951,1867,center
132000,499,1912,917,1896,center
136000,480,1891,878,1911,center
140000,538,1930,899,1902,center
144000,530,1920,953,1872,center
148000,440,1899,944,1898,center
152000,541,1884,933,1920,center
156000,536,1924,849,1902,center
160000,517,1910,953,1902,center
164000,474,1874,935,1883,center
168000,520,1926,894,1899,center
172000,520,1904,953,1914,center
176000,500,1904,938,1902,center
180000,567,1911,928,1894,center
184000,532,1889,922,1893,center
188000,518,1900,960,1920,center
192000,468,1902,949,1904,center
196000,533,1856,937,1895,center
200000,518,1880,926,1894,center
204000,500,1894,944,1914,center
208000,497,1889,938,1906,center
212000,528,1922,907,1902,center
216000,512,1898,947,1888,center
220000,503,1900,957,1908,center
224000,548,1862,940,1911,center
228000,532,1912,1002,1902,center
232000,519,1895,956,1900,center
236000,454,1894,940,1907,center
240000,527,1908,936,1912,center
244000,533,1920,1007,1892,center
248000,512,1902,952,1819,center
252000,567,1926,936,1903,center
256000,538,1916,890,1912,center
260000,529,1919,958,1896,center
264000,433,1898,940,1894,center
268000,529,1880,935,1904,center
272000,533,1899,963,1889,center
276000,508,1920,943,1904,center
280000,472,1894,945,1888,center
284000,525,1896,858,1897,center
288000,533,1911,952,1892,center
292000,502,1918,946,1913,center
296000,545,1890,938,1896,center
300000,530,1890,887,1888,center
304000,504,1889,952,1899,center
308000,453,1910,938,1904,center
312000,530,1970,880,1893,center
316000,524,1904,949,1831,center
320000,510,1902,947,1903,center
324000,475,1900,936,1912,center
328000,534,1920,900,1902,center
332000,518,1890,948,1880,center
336000,486,1883,939,1903,center
340000,534,1888,948,1918,center
344000,524,1909,886,1910,center
348000,512,1882,962,1916,center
352000,488,1872,939,1907,center
356000,521,1888,939,1916,center
360000,513,1898,959,1898,center
364000,500,1880,947,1908,center
368000,461,1858,944,1914,center
372000,526,1863,900,1912,center
376000,505,1878,954,1898,center
380000,493,1866,949,1910,center
384000,523,1832,929,1902,center
388000,478,1858,958,1886,center
392000,498,1878,954,1914,center
396000,459,1870,946,1900,center
400000,512,1848,959,1892,center
404000,499,1854,950,1889,center
408000,503,1882,955,1915,center
412000,519,1853,938,1894,center
416000,510,1869,952,1889,center
420000,488,1856,952,1901,center
424000,444,1866,949,1908,center
428000,526,1874,929,1896,center
432000,508,1866,986,1899,center
436000,493,1850,948,1896,center
440000,463,1846,938,1914,center
444000,510,1890,913,1892,center
448000,505,1873,951,1898,center
452000,416,1856,940,1886,center
456000,518,1922,934,1888,center
460000,517,1883,920,1888,center
464000,494,1876,943,1892,center
468000,469,1850,934,1886,center
472000,515,1854,963,1891,center
476000,509,1888,956,1852,center
480000,506,1886,943,1889,center
484000,528,1896,927,1871,center
488000,500,1869,893,1891,center
492000,502,1889,954,1907,center
496000,477,1894,942,1890,center
500000,513,1888,866,1898,center
504000,504,1874,954,1872,center
508000,480,1881,945,1900,center
512000,470,1870,932,1892,center
516000,506,1890,874,1808,center
520000,503,1872,950,1892,center
524000,533,1876,948,1900,center
528000,524,1874,936,1900,center
532000,512,1890,950,1879,center
536000,483,1864,943,1891,center
540000,459,1848,937,1894,center
544000,523,1890,874,1899,center
548000,502,1892,950,1900,center
552000,475,1878,935,1886,center
556000,522,1870,929,1892,center
560000,519,1910,899,1897,center
564000,501,1914,948,1884,center
568000,497,1894,938,1886,center
572000,523,1954,915,1884,center
576000,512,1902,952,1884,center
580000,504,1909,953,1898,center
584000,507,1890,939,1888,center
588000,512,1886,872,1882,center
592000,499,1892,948,1877,center
596000,499,1919,967,1908,center
600000,522,1902,928,1892,center
604000,512,1888,972,1895,center
608000,489,1885,942,1907,center
612000,453,1910,939,1910,center
616000,526,1902,941,1897,center
620000,505,1895,964,1894,center
624000,483,1886,944,1900,center
628000,541,1884,938,1900,center
632000,524,1914,910,1898,center
636000,502,1886,951,1866,center
640000,462,1884,945,1892,center
644000,528,1878,934,1896,center
648000,512,1901,876,1842,center
652000,498,1894,946,1890,center
656000,456,1883,943,1886,center
660000,520,1894,968,1900,center
664000,509,1912,955,1846,center
668000,513,1901,938,1890,center
672000,524,1871,930,1886,center
676000,508,1903,961,1903,center
680000,507,1912,955,1905,center
684000,449,1920,946,1895,center
688000,518,1889,955,1885,center
692000,513,1888,948,1833,center
696000,500,1906,944,1906,center
700000,523,1904,929,1895,center
704000,520,1894,848,1891,center
708000,493,1861,947,1890,center
712000,451,1900,916,1896,center
716000,518,1901,947,1894,center
720000,508,1891,950,1840,center
724000,492,1888,944,1898,center
728000,522,1958,928,1896,center
732000,523,1912,868,1900,center
736000,502,1899,944,1871,center
740000,445,1879,943,1892,center
744000,519,1888,929,1900,center
748000,507,1910,983,1910,center
752000,499,1907,950,1900,center
756000,547,1954,930,1892,center
760000,516,1900,939,1902,center
764000,500,1914,954,1910,center
768000,488,1913,943,1902,center
772000,524,1926,924,1888,center
776000,512,1900,980,1878,center
780000,495,1915,952,1908,center
784000,443,1918,942,1901,center
788000,522,1895,836,1885,center
792000,512,1894,953,1850,center
796000,499,1904,949,1902,center
800000,539,2019,935,1894,center
804000,507,1912,935,1883,center
808000,490,1898,944,1894,center
812000,437,1914,939,1898,center
