t_us,ch1,ch2,ch3,ch4,label
0,814,1902,1279,1894,center
4000,788,1891,1268,1874,center
8000,771,1896,1254,1880,center
12000,812,1918,1206,1907,center
16000,810,1911,1278,1905,center
20000,775,1871,1252,1872,center
24000,816,1886,1212,1876,center
28000,802,1897,1283,1912,center
32000,748,1891,1272,1906,center
36000,808,1888,1262,1876,center
40000,803,1898,1275,1878,center
44000,760,1901,1268,1909,center
48000,848,1906,1213,1909,center
52000,805,1888,1268,1871,center
56000,769,1905,1260,1864,center
60000,821,1876,1232,1888,center
64000,807,1898,1281,1891,center
68000,791,1894,1276,1896,center
72000,824,1846,1257,1868,center
76000,813,1888,1279,1860,center
80000,798,1902,1283,1914,center
84000,825,1954,1263,1898,center
88000,816,1884,1248,1861,center
92000,784,1889,1267,1878,center
96000,820,1932,1260,1910,center
100000,818,1922,1236,1898,center
104000,814,1902,1269,1888,center
108000,844,1952,1254,1864,center
112000,818,1914,1283,1910,center
116000,810,1907,1274,1902,center
120000,821,1914,1258,1888,center
124000,807,1898,1236,1866,center
128000,794,1906,1273,1902,center
132000,800,1896,1270,1912,center
136000,811,1908,1248,1882,center
140000,792,1898,1258,1856,center
144000,759,1906,1266,1891,center
148000,825,1940,1210,1908,center
152000,814,1923,1282,1914,center
156000,754,1904,1255,1872,center
160000,810,1903,1184,1877,center
164000,815,1939,1287,1910,center
168000,776,1928,1266,1900,center
172000,826,1979,1216,1866,center
176000,801,1908,1272,1878,center
180000,740,1929,1266,1892,center
184000,821,1941,1150,1901,center
188000,826,1920,1274,1856,center
192000,792,1901,1259,1868,center
196000,831,1920,1187,1894,center
200000,816,1918,1283,1888,center
204000,755,1906,1267,1875,center
208000,820,1869,1247,1861,center
212000,817,1911,1272,1885,center
216000,805,1916,1278,1907,center
220000,832,1970,1248,1878,center
224000,807,1894,1264,1834,center
228000,806,1896,1267,1868,center
232000,830,1926,1254,1898,center
236000,812,1917,1247,1872,center
240000,800,1899,1262,1873,center
244000,774,1883,1279,1874,center
248000,826,1927,1254,1920,center
252000,808,1915,1278,1902,center
256000,780,1888,1260,1862,center
260000,818,1889,1192,1854,center
264000,810,1902,1277,1891,center
268000,762,1901,1268,1900,center
272000,814,1933,1226,1863,center
276000,807,1874,1265,1850,center
280000,744,1892,1266,1890,center
284000,825,1897,1229,1896,center
288000,810,1896,1276,1872,center
292000,740,1877,1268,1870,center
296000,823,1940,1246,1871,center
300000,813,1910,1290,1882,center
304000,798,1898,1268,1888,center
308000,816,1856,1246,1859,center
312000,804,1884,1176,1843,center
316000,797,1904,1268,1902,center
320000,824,1872,1255,1892,center
324000,820,1888,1281,1864,center
328000,807,1894,1266,1871,center
332000,830,1943,1262,1909,center
336000,825,1927,1241,1891,center
340000,802,1896,1272,1846,center
344000,773,1894,1255,1873,center
348000,820,1918,1146,1883,center
352000,806,1924,1276,1902,center
356000,751,1913,1275,1877,center
360000,810,1906,1222,1860,center
364000,793,1903,1267,1880,center
368000,811,1915,1264,1907,center
372000,830,1964,1220,1888,center
376000,813,1923,1270,1848,center
380000,765,1906,1256,1880,center
384000,834,1800,1266,1916,center
388000,812,1929,1283,1906,center
392000,793,1907,1271,1908,center
396000,834,1992,1261,1915,center
400000,828,1952,1308,1954,center
404000,816,1952,1299,1987,center
408000,840,2017,1270,1966,center
412000,823,1942,1195,1891,center
416000,801,1934,1308,2030,center
420000,852,1957,1300,2040,center
424000,820,1891,1333,2007,center
428000,797,1874,1306,1992,center
432000,811,1834,1290,1982,center
436000,802,1840,1300,1954,center
440000,710,1812,1282,1906,center
444000,739,1778,1256,1834,center
448000,794,1770,1267,1802,center
452000,782,1780,1250,1784,center
456000,724,1746,1224,1722,center
460000,779,1648,1174,1654,center
464000,746,1690,1178,1626,center
468000,760,1746,1161,1609,center
472000,720,1754,1163,1600,center
476000,764,1774,1103,1536,center
480000,744,1756,1137,1518,center
484000,769,1766,1134,1519,center
488000,736,1801,1130,1500,center
492000,727,1765,1105,1476,center
496000,744,1782,1068,1446,center
500000,754,1802,1038,1463,center
504000,770,1866,1076,1476,center
508000,711,1845,1078,1441,center
512000,745,1852,1073,1432,center
516000,754,1866,1041,1430,center
520000,784,1886,1004,1456,center
524000,787,1920,1043,1440,center
528000,714,1891,1049,1416,center
532000,763,1901,1046,1394,center
536000,778,1918,1050,1396,center
540000,794,1922,1028,1358,center
544000,785,1890,1011,1326,center
548000,802,1920,1003,1324,center
552000,781,1929,1007,1357,center
556000,789,1938,1005,1356,center
560000,776,1922,1001,1312,center
564000,803,1929,996,1324,center
