t_us,ch1,ch2,ch3,ch4,label
0,684,1941,962,1919,center
4000,600,1928,983,2010,center
8000,700,1936,951,2002,center
12000,692,1970,966,1874,center
16000,678,1956,956,1904,center
20000,696,1919,979,1997,center
24000,704,1958,1018,2008,center
28000,696,1966,968,1904,center
32000,704,1954,951,1876,center
36000,714,1992,963,1968,center
40000,698,1930,1013,1993,center
44000,683,1919,989,1981,center
48000,570,1919,976,1968,center
52000,692,1918,941,1974,center
56000,695,1931,984,1942,center
60000,665,1915,974,1934,center
64000,706,1700,957,1934,center
68000,706,1944,938,1930,center
72000,688,1938,976,1952,center
76000,656,1925,967,1924,center
80000,700,1914,942,1912,center
84000,693,1952,917,1891,center
88000,688,1954,980,1946,center
92000,650,1936,959,1928,center
96000,705,1912,949,1918,center
100000,694,1938,976,1916,center
104000,695,1946,970,1942,center
108000,630,1933,954,1921,center
112000,706,1934,924,1922,center
116000,693,1941,978,1918,center
120000,636,1954,971,1945,center
124000,717,1742,956,1931,center
128000,702,1898,977,1916,center
132000,686,1942,978,1904,center
136000,683,1930,966,1938,center
140000,699,1964,994,1918,center
144000,677,1939,978,1926,center
148000,688,1930,966,1930,center
152000,724,1938,960,1934,center
156000,698,1948,969,1921,center
160000,678,1924,971,1929,center
164000,686,1908,958,1922,center
168000,694,1935,963,1929,center
172000,673,1942,968,1946,center
176000,650,1906,982,1941,center
180000,687,1923,966,1932,center
184000,701,1934,975,1950,center
188000,696,1956,981,1956,center
192000,712,1998,957,1946,center
196000,692,1931,947,1936,center
200000,682,1930,978,1926,center
204000,675,1938,968,1870,center
208000,709,1954,917,1948,center
212000,676,1930,979,1906,center
216000,634,1934,967,1954,center
220000,704,1930,966,1954,center
224000,688,1957,978,1939,center
228000,666,1929,971,1950,center
232000,648,1904,971,1952,center
236000,705,1945,944,1957,center
240000,689,1942,988,1941,center
244000,606,1922,975,1944,center
248000,707,1898,972,1940,center
252000,694,1923,993,1930,center
256000,669,1932,982,1958,center
260000,694,1896,966,1948,center
264000,686,1906,932,1951,center
268000,673,1906,979,1944,center
272000,656,1930,979,1968,center
276000,704,1928,968,1952,center
280000,686,1908,996,1938,center
284000,658,1907,979,1970,center
288000,619,1934,974,1961,center
292000,702,1943,968,1944,center
296000,687,1914,982,1938,center
300000,647,1916,975,1942,center
304000,704,1771,967,1952,center
308000,696,1952,994,1938,center
312000,678,1930,982,1954,center
316000,673,1908,974,1944,center
320000,706,1937,951,1964,center
