t_us,ch1,ch2,ch3,ch4,label
0,3622,1601,842,1653,center
705004000,3622,1624,840,1650,center
705008000,3572,1553,844,1657,center
705012000,3514,1456,806,1659,center
705016000,3480,1494,831,1658,center
705020000,3594,1555,834,1659,center
705024000,3578,1547,798,1643,center
705028000,3506,1426,837,1663,center
705032000,3509,1278,834,1664,center
705036000,3538,1557,871,1653,center
705040000,3529,1608,814,1658,center
705044000,3509,1532,827,1664,center
705048000,3526,1505,776,1684,center
705052000,3559,1626,838,1704,center
705056000,3472,1694,832,1676,center
705060000,3574,1640,832,1692,center
705064000,3540,1576,841,1670,center
705068000,3554,1680,840,1696,center
705072000,3572,1766,843,1687,center
705076000,3596,1693,849,1687,center
705080000,3552,1632,840,1706,center
705084000,3506,1694,835,1710,center
705088000,3623,1796,816,1685,center
705092000,3616,1747,835,1704,center
705096000,3568,1658,837,1686,center
705100000,3563,1659,836,1691,center
705104000,3618,1760,800,1684,center
705108000,3606,1758,838,1674,center
705112000,3488,1660,836,1674,center
705116000,3573,1646,828,1684,center
705120000,3602,1740,834,1664,center
705124000,3594,1765,835,1682,center
705128000,3610,1670,830,1682,center
705132000,3570,1634,793,1674,center
705136000,3602,1729,840,1699,center
705140000,3594,1783,832,1678,center
705144000,3600,1704,817,1668,center
705148000,3574,1650,823,1690,center
705152000,3587,1716,838,1686,center
705156000,3596,1786,826,1674,center
705160000,3626,1752,838,1674,center
705164000,3573,1654,832,1650,center
705168000,3538,1706,836,1748,center
705172000,3646,1779,821,1682,center
705176000,3629,1790,839,1680,center
705180000,3574,1687,819,1670,center
705184000,3616,1702,832,1681,center
705188000,3635,1787,795,1676,center
705192000,3634,1806,838,1670,center
705196000,3474,1692,834,1676,center
705200000,3588,1684,843,1676,center
705204000,3616,1773,840,1652,center
705208000,3632,1811,838,1667,center
705212000,3624,1692,827,1662,center
705216000,3588,1658,846,1663,center
705220000,3605,1745,836,1658,center
705224000,3558,1807,830,1671,center
705228000,3632,1694,837,1664,center
705232000,3592,1648,853,1680,center
705236000,3572,1699,832,1670,center
705240000,3640,1760,832,1672,center
705244000,3629,1748,793,1670,center
705248000,3582,1654,829,1647,center
705252000,3618,1668,846,1690,center
705256000,3632,1740,842,1680,center
705260000,3570,1709,838,1659,center
705264000,3622,1560,838,1655,center
705268000,3582,1558,842,1654,center
705272000,3606,1626,848,1628,center
705276000,3598,1623,856,1649,center
705280000,3530,1514,844,1652,center
705284000,3546,1397,838,1654,center
705288000,3568,1527,863,1672,center
705292000,3579,1572,846,1668,center
705296000,3526,1470,847,1642,center
705300000,3484,1404,837,1648,center
705304000,3482,1520,835,1658,center
705308000,3566,1588,786,1662,center
705312000,3534,1546,836,1676,center
705316000,3388,1485,829,1655,center
705320000,3530,1558,839,1674,center
705324000,3565,1648,834,1658,center
705328000,3542,1658,838,1660,center
705332000,3560,1577,832,1670,center
705336000,3536,1573,788,1662,center
705340000,3572,1677,848,1652,center
705344000,3542,1714,817,1664,center
705348000,3570,1646,823,1672,center
705352000,3538,1595,836,1652,center
705356000,3502,1712,834,1671,center
705360000,3631,1731,825,1670,center
705364000,3591,1703,852,1672,center
705368000,3532,1598,830,1688,center
705372000,3509,1716,837,1678,center
705376000,3632,1802,800,1666,center
705380000,3584,1698,836,1673,center
705384000,3553,1627,836,1666,center
705388000,3602,1642,828,1676,center
705392000,3620,1776,851,1668,center
705396000,3604,1750,835,1682,center
705400000,3514,1642,823,1662,center
705404000,3592,1686,794,1674,center
705408000,3610,1768,828,1675,center
705412000,3560,1775,824,1652,center
705416000,3602,1631,832,1659,center
705420000,3572,1652,801,1642,center
705424000,3608,1744,854,1650,center
705428000,3602,1776,837,1662,center
705432000,3606,1682,783,1658,center
705436000,3548,1624,832,1669,center
705440000,3616,1729,834,1664,center
705444000,3643,1764,817,1650,center
705448000,3598,1688,823,1641,center
705452000,3568,1620,839,1664,center
705456000,3554,1704,832,1662,center
705460000,3619,1755,773,1658,center
705464000,3600,1697,836,1674,center
705468000,3488,1608,834,1654,center
705472000,3592,1667,821,1660,center
705476000,3610,1740,840,1684,center
705480000,3592,1735,839,1662,center
705484000,3524,1610,821,1664,center
705488000,3572,1617,852,1666,center
705492000,3600,1718,838,1644,center
705496000,3552,1748,827,1670,center
705500000,3584,1668,842,1663,center
705504000,3566,1594,789,1686,center
705508000,3585,1688,833,1664,center
705512000,3606,1710,833,1660,center
705516000,3591,1638,788,1663,center
705520000,3543,1578,834,1638,center
705524000,3532,1674,828,1668,center
705528000,3632,1715,839,1664,center
705532000,3588,1656,840,1639,center
705536000,3538,1589,840,1664,center
705540000,3580,1638,850,1675,center
705544000,3568,1696,846,1664,center
705548000,3624,1574,812,1656,center
705552000,3552,1516,871,1641,center
705556000,3552,1520,856,1670,center
705560000,3562,1596,840,1664,center
705564000,3608,1587,830,1648,center
705568000,3548,1498,807,1644,center
705572000,3523,1448,850,1676,center
705576000,3552,1542,840,1679,center
705580000,3480,1565,845,1662,center
705584000,3568,1430,846,1662,center
705588000,3462,1405,830,1658,center
705592000,3530,1508,831,1666,center
705596000,3542,1618,826,1668,center
705600000,3515,1552,848,1686,center
705604000,3462,1494,835,1675,center
705608000,3547,1561,832,1688,center
705612000,3558,1675,842,1611,center
705616000,3456,1638,834,1675,center
705620000,3547,1533,846,1673,center
705624000,3548,1606,849,1684,center
705628000,3563,1713,838,1676,center
705632000,3567,1701,833,1678,center
705636000,3572,1602,850,1675,center
705640000,3532,1615,831,1694,center
705644000,3501,1728,838,1682,center
705648000,3624,1779,830,1674,center
705652000,3560,1669,856,1680,center
705656000,3530,1616,836,1676,center
705660000,3616,1736,830,1680,center
705664000,3616,1793,808,1685,center
705668000,3562,1678,832,1614,center
705672000,3486,1636,838,1682,center
705676000,3606,1756,829,1673,center
705680000,3618,1794,844,1696,center
705684000,3574,1713,841,1673,center
705688000,3548,1654,834,1652,center
705692000,3580,1707,776,1683,center
705696000,3600,1805,838,1702,center
705700000,3549,1772,835,1672,center
705704000,3590,1678,830,1666,center
