t_us,ch1,ch2,ch3,ch4,label
748000,3909,1952,1128,1964,center
752000,3892,1952,1211,1970,center
756000,3810,1954,1214,1997,center
760000,3930,1944,1206,1980,center
764000,3915,1956,1230,1992,center
768000,3888,1959,1209,2000,center
772000,3830,1971,1216,2018,center
776000,3926,1970,1203,2029,center
780000,3904,1968,1232,2022,center
784000,3874,1973,1224,2018,center
788000,3836,1980,1218,2024,center
792000,3930,1977,1174,2025,center
796000,3914,1962,1242,2006,center
800000,3840,1958,1238,2010,center
804000,3938,1956,1208,1993,center
808000,3920,1956,1224,1982,center
812000,3904,1955,1222,1979,center
816000,3874,1952,1196,1938,center
820000,3914,1960,1212,1918,center
824000,3918,1958,1199,1938,center
828000,3816,1949,1200,1908,center
832000,3920,1922,1174,1886,center
836000,3926,1960,1130,1868,center
840000,3898,1960,1200,1888,center
844000,3830,1952,1189,1879,center
848000,3914,1950,1187,1881,center
852000,3916,1944,1211,1864,center
856000,3892,1952,1186,1898,center
860000,3856,1936,1184,1895,center
864000,3906,1940,1157,1890,center
868000,3906,1936,1186,1888,center
872000,3874,1926,1183,1889,center
876000,3910,1937,1152,1926,center
880000,3906,1918,1204,1898,center
884000,3882,1910,1194,1895,center
888000,3796,1904,1182,1882,center
892000,3908,1916,1210,1884,center
896000,3876,1908,1200,1900,center
900000,3834,1902,1172,1894,center
904000,3905,1892,1164,1858,center
908000,3904,1923,1226,1883,center
912000,3884,1920,1193,1910,center
916000,3820,1900,1185,1908,center
920000,3912,1923,1156,1896,center
924000,3904,1943,1202,1896,center
928000,3888,1938,1202,1943,center
932000,3856,1920,1195,1949,center
936000,3917,1936,1214,1960,center
940000,3878,1934,1221,1984,center
944000,3802,1930,1234,2067,center
948000,3914,1912,1256,2146,center
952000,3904,1944,1300,2238,center
956000,3882,1940,1334,2348,center
960000,3826,1946,1368,2482,center
964000,3902,1947,1435,2629,center
968000,3922,1946,1430,2746,center
972000,3941,1947,1497,2906,center
976000,3962,1921,1574,3072,center
980000,3912,1964,1634,3218,center
984000,3916,1975,1686,3348,center
988000,3932,1987,1738,3454,center
992000,3986,2018,1656,3552,center
996000,3960,1995,1804,3656,center
1000000,3984,2021,1766,3720,center
1004000,3978,2025,1846,3771,center
1008000,3904,2065,1897,3816,center
1012000,3950,2080,1915,3846,center
1016000,4000,2094,1952,3840,center
1020000,4010,2112,1974,3844,center
1024000,3960,2112,1964,3838,center
1028000,4016,2125,1984,3844,center
1032000,4012,2134,2002,3810,center
1036000,4032,2135,1990,3780,center
1040000,4054,2138,1978,3756,center
1044000,3790,2158,2010,3755,center
1048000,4010,2158,2024,3738,center
1052000,4036,2165,2041,3700,center
1056000,4056,2194,2029,3643,up
1060000,4095,2174,2012,3602,up
1064000,4050,2176,2040,3622,up
1068000,4041,2168,2064,3626,up
1072000,4084,2200,1879,3524,up
1076000,4095,2186,2016,3454,up
1080000,3974,2171,2049,3472,up
1084000,4058,2164,2068,3456,up
1088000,4091,2186,1994,3370,up
1092000,4095,2190,2016,3270,up
1096000,3996,2184,2026,3250,up
1100000,4075,2182,2042,3252,up
1104000,4095,2197,1973,3201,up
1108000,4056,2183,2004,3083,up
1112000,4073,2202,2010,3046,up
1116000,4092,2174,2038,3077,up
1120000,4095,2177,2034,3042,up
1124000,4095,2210,1990,2931,up
1128000,4042,2220,1987,2878,up
1132000,4095,2171,2022,2925,up
1136000,4095,2174,2026,2930,up
1140000,4095,2154,1972,2827,up
1144000,4018,2200,1982,2756,up
1148000,4095,2156,2000,2774,up
1152000,4082,2134,2020,2802,up
1156000,4095,2170,2009,2733,up
1160000,4076,2158,1966,2646,up
1164000,4054,2133,1988,2665,up
1168000,4088,2122,2008,2694,up
1172000,4095,2138,1954,2602,up
1176000,4095,2104,1958,2537,up
1180000,4095,2146,1946,2541,up
1184000,4095,2116,1992,2576,up
1188000,4095,2109,2000,2574,up
1192000,4095,2150,1966,2448,up
1196000,4095,2122,1932,2433,up
1200000,4058,2110,1974,2510,up
1204000,4095,2112,1993,2474,up
1208000,4095,2134,1878,2404,up
1212000,4032,2165,1937,2368,up
1216000,4095,2146,1949,2420,up
1220000,4095,2144,1903,2412,up
1224000,4095,2150,1931,2372,up
1228000,4047,2194,1941,2322,up
1232000,4095,2174,1953,2311,up
1236000,4095,2152,1898,2339,up
1240000,4095,2151,1935,2298,up
1244000,4095,2177,1933,2240,up
1248000,4095,2164,1954,2256,up
1252000,4095,2112,1932,2282,up
1256000,4054,2150,1939,2267,up
1260000,4042,2141,1936,2231,up
1264000,4095,2150,1874,2222,up
1268000,4094,2105,1926,2240,up
1272000,4095,2122,1943,2250,up
1276000,4095,2124,1952,2203,up
1280000,4095,2152,1892,2192,up
1284000,4095,2098,1924,2206,up
1288000,4095,2102,1944,2220,up
1292000,4095,2114,1963,2182,up
1296000,4095,2083,1924,2162,up
