t_us,ch1,ch2,ch3,ch4,pc_time,label
420372163,1395,906,1121,1285,1770289291.456838,center
420376164,1453,916,1133,1319,1770289291.456945,center
420380164,1374,794,980,1195,1770289291.457032,center
420384162,1348,835,1022,1198,1770289291.457119,center
420388163,1385,891,1106,1267,1770289291.4572039,center
420392163,1459,924,1140,1321,1770289291.457288,center
420396164,1402,822,1019,1225,1770289291.457401,center
420400162,1365,827,1012,1203,1770289291.4575481,center
420404162,1382,877,1084,1247,1770289291.457634,center
420408163,1454,929,1145,1322,1770289291.457719,center
420412163,1424,845,1051,1247,1770289291.457868,center
420416164,1367,814,998,1196,1770289291.458019,center
420420162,1366,859,1062,1223,1770289291.458113,center
420424163,1440,930,1147,1317,1770289291.45887,center
420428163,1429,863,1075,1272,1770289291.462951,center
420432163,1364,801,985,1186,1770289291.466814,center
420436162,1349,847,1045,1206,1770289291.470948,center
420440162,1431,935,1156,1310,1770289291.474855,center
420444163,1438,879,1097,1290,1770289291.478888,center
420448163,1357,791,977,1184,1770289291.482754,center
420452163,1342,840,1029,1199,1770289291.4868748,center
420456162,1403,919,1134,1296,1770289291.490953,center
420460162,1442,904,1125,1311,1770289291.494967,center
420464163,1359,786,973,1184,1770289291.498909,center
420468163,1340,837,1027,1192,1770289291.502882,center
420472164,1397,907,1113,1283,1770289291.506895,center
420476162,1451,914,1130,1319,1770289291.51089,center
420480162,1364,786,973,1185,1770289291.514815,center
420484163,1347,840,1028,1193,1770289291.518906,center
420488163,1387,897,1109,1272,1770289291.522945,center
420492164,1459,923,1140,1323,1770289291.526916,center
420496162,1396,813,1003,1217,1770289291.530896,center
420500162,1361,831,1017,1197,1770289291.53489,center
420504163,1382,881,1094,1254,1770289291.53895,center
420508163,1450,927,1141,1321,1770289291.542928,center
420512164,1413,838,1037,1233,1770289291.546973,center
420516162,1362,819,1006,1196,1770289291.550959,center
420520162,1368,864,1069,1226,1770289291.555029,center
420524163,1439,929,1146,1318,1770289291.558923,center
420528163,1422,855,1069,1257,1770289291.563017,center
420532164,1364,806,992,1191,1770289291.566901,center
420536162,1353,850,1052,1212,1770289291.570959,center
420540162,1436,934,1151,1315,1770289291.5750139,center
420544163,1437,872,1088,1281,1770289291.579007,center
420548163,1354,794,979,1184,1770289291.582925,center
420552164,1342,841,1030,1201,1770289291.5870662,center
420556162,1417,928,1141,1305,1770289291.591022,center
420560162,1446,895,1120,1310,1770289291.5950668,center
420564163,1364,788,975,1185,1770289291.598881,center
420568163,1342,837,1028,1193,1770289291.603028,center
420572164,1402,912,1124,1291,1770289291.607109,center
420576162,1448,909,1127,1319,1770289291.6110668,center
420580162,1360,780,963,1176,1770289291.6149719,center
420584163,1345,844,1030,1201,1770289291.6189928,center
420588164,1397,902,1116,1283,1770289291.623009,center
420592162,1459,918,1138,1324,1770289291.627062,center
420596162,1391,805,993,1209,1770289291.631029,center
420600162,1359,835,1023,1202,1770289291.635013,center
420604163,1392,887,1107,1266,1770289291.639101,center
420608164,1464,925,1141,1327,1770289291.643132,center
420612162,1418,829,1026,1231,1770289291.6471438,center
420616162,1369,823,1012,1201,1770289291.651121,center
420620163,1378,872,1077,1241,1770289291.655137,center
420624164,1452,930,1145,1322,1770289291.659136,center
420628164,1426,850,1062,1254,1770289291.6631591,center
420632162,1369,811,997,1197,1770289291.667047,center
420636162,1364,855,1058,1220,1770289291.6711411,center
420640163,1442,933,1149,1319,1770289291.675134,center
420644164,1432,867,1086,1277,1770289291.679185,center
420648164,1359,797,985,1185,1770289291.68309,center
420652162,1345,844,1039,1200,1770289291.6871622,center
420656162,1423,933,1148,1312,1770289291.691156,center
420660163,1444,886,1106,1299,1770289291.6952052,center
420664164,1363,790,975,1183,1770289291.699106,center
420668164,1341,837,1025,1197,1770289291.7033238,center
420672162,1406,916,1127,1294,1770289291.707215,center
420676162,1442,905,1125,1311,1770289291.711224,center
420680163,1353,783,964,1176,1770289291.7151082,center
420684164,1342,841,1030,1199,1770289291.7192168,center
420688164,1396,907,1119,1283,1770289291.723232,center
420692162,1453,917,1133,1318,1770289291.7272162,center
420696162,1374,792,979,1195,1770289291.731166,center
420700163,1348,836,1024,1195,1770289291.735287,center
420704164,1385,891,1106,1271,1770289291.739248,center
420708162,1459,924,1141,1328,1770289291.74325,center
420712162,1410,821,1019,1227,1770289291.747275,center
420716162,1369,827,1014,1199,1770289291.751214,center
420720163,1384,876,1085,1246,1770289291.7553148,center
420724164,1455,930,1146,1321,1770289291.759315,center
420728164,1425,843,1051,1244,1770289291.763326,center
420732162,1369,814,998,1195,1770289291.767222,center
420736162,1366,860,1061,1223,1770289291.771351,center
420740163,1441,930,1147,1318,1770289291.775361,center
420744164,1427,861,1073,1271,1770289291.779448,center
420748164,1363,801,987,1185,1770289291.7833228,center
420752162,1350,848,1048,1206,1770289291.787389,center
420756163,1431,936,1158,1318,1770289291.791435,center
420760163,1439,879,1100,1292,1770289291.795479,center
420764164,1359,792,976,1185,1770289291.799362,center
420768162,1344,840,1026,1200,1770289291.8034828,center
420772162,1407,920,1133,1296,1770289291.80749,center
420776163,1443,902,1125,1310,1770289291.811501,center
420780163,1359,787,972,1184,1770289291.815395,center
420784164,1341,837,1027,1193,1770289291.819509,center
420788162,1398,909,1115,1284,1770289291.823485,center
420792163,1451,911,1124,1320,1770289291.827552,center
420796163,1366,784,968,1182,1770289291.831414,center
420800164,1347,841,1028,1193,1770289291.835545,center
420804164,1387,896,1110,1274,1770289291.839515,center
420808162,1458,921,1139,1323,1770289291.843592,center
420812163,1393,813,1005,1217,1770289291.8475158,center
420816163,1360,831,1018,1198,1770289291.851563,center
420820164,1381,883,1093,1254,1770289291.855527,center
420824162,1450,926,1140,1320,1770289291.859565,center
420828162,1412,837,1037,1233,1770289291.8635268,center
420832163,1362,819,1007,1195,1770289291.867553,center
420836163,1368,864,1069,1226,1770289291.871607,center
420840164,1440,928,1145,1317,1770289291.8755891,center
420844162,1421,855,1068,1257,1770289291.879584,center
420848162,1360,806,991,1190,1770289291.883463,center
420852163,1351,851,1055,1212,1770289291.887587,center
420856163,1435,935,1151,1323,1770289291.891621,center
420860164,1438,874,1094,1287,1770289291.895514,center
420864162,1358,795,980,1189,1770289291.8993778,center
420868162,1347,841,1030,1203,1770289291.903491,center
420872163,1418,926,1139,1306,1770289291.907485,center
420876163,1446,895,1122,1311,1770289291.911498,center
420880164,1364,787,975,1186,1770289291.915408,center
420884162,1342,836,1026,1193,1770289291.919544,center
420888162,1403,915,1126,1290,1770289291.923486,center
420892163,1444,909,1129,1315,1770289291.927549,center
420896163,1354,780,963,1175,1770289291.931437,center
420900164,1344,845,1030,1200,1770289291.935495,center
420904162,1397,902,1117,1283,1770289291.939598,center
420908162,1456,922,1138,1324,1770289291.943536,center
420912163,1386,805,993,1208,1770289291.947448,center
420916163,1357,834,1022,1201,1770289291.951551,center
420920164,1389,887,1102,1258,1770289291.9556081,center
420924162,1453,926,1141,1321,1770289291.959647,center
